set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHtilde,dvcs,F_true
2,3,5.75,1.933,0.368,-0.232,52.5,0.0972962,0.00523551,0.05381,2.20725,-0.666374,-0.342787,0.0248174,0.0889844
2,4,5.75,1.933,0.368,-0.232,67.5,0.0713998,0.00416832,0.05838,2.20725,-0.666374,-0.342787,0.0248174,0.0750609
2,5,5.75,1.933,0.368,-0.232,82.5,0.0630502,0.00393875,0.06247,2.20725,-0.666374,-0.342787,0.0248174,0.0636029
2,6,5.75,1.933,0.368,-0.232,97.5,0.0535564,0.00336549,0.06284,2.20725,-0.666374,-0.342787,0.0248174,0.0547957
2,7,5.75,1.933,0.368,-0.232,112.5,0.0483795,0.00307984,0.06366,2.20725,-0.666374,-0.342787,0.0248174,0.0483287
2,8,5.75,1.933,0.368,-0.232,127.5,0.0420294,0.00267013,0.06353,2.20725,-0.666374,-0.342787,0.0248174,0.0437596
2,9,5.75,1.933,0.368,-0.232,142.5,0.0418295,0.0025173,0.06018,2.20725,-0.666374,-0.342787,0.0248174,0.040685
2,10,5.75,1.933,0.368,-0.232,157.5,0.0409973,0.0024172,0.05896,2.20725,-0.666374,-0.342787,0.0248174,0.0387995
2,11,5.75,1.933,0.368,-0.232,172.5,0.0360964,0.00225747,0.06254,2.20725,-0.666374,-0.342787,0.0248174,0.0379049
2,12,5.75,1.933,0.368,-0.232,187.5,0.0353357,0.00215371,0.06095,2.20725,-0.666374,-0.342787,0.0248174,0.0379049
2,13,5.75,1.933,0.368,-0.232,202.5,0.038579,0.0022044,0.05714,2.20725,-0.666374,-0.342787,0.0248174,0.0387995
2,14,5.75,1.933,0.368,-0.232,217.5,0.0367094,0.00224882,0.06126,2.20725,-0.666374,-0.342787,0.0248174,0.040685
2,15,5.75,1.933,0.368,-0.232,232.5,0.0480551,0.00307985,0.06409,2.20725,-0.666374,-0.342787,0.0248174,0.0437596
2,16,5.75,1.933,0.368,-0.232,247.5,0.0453464,0.00288675,0.06366,2.20725,-0.666374,-0.342787,0.0248174,0.0483287
2,17,5.75,1.933,0.368,-0.232,262.5,0.0515744,0.00321721,0.06238,2.20725,-0.666374,-0.342787,0.0248174,0.0547957
2,18,5.75,1.933,0.368,-0.232,277.5,0.066313,0.00426658,0.06434,2.20725,-0.666374,-0.342787,0.0248174,0.0636029
2,19,5.75,1.933,0.368,-0.232,292.5,0.0792778,0.00468453,0.05909,2.20725,-0.666374,-0.342787,0.0248174,0.0750609
2,20,5.75,1.933,0.368,-0.232,307.5,0.0934857,0.0052969,0.05666,2.20725,-0.666374,-0.342787,0.0248174,0.0889844
2,21,5.75,1.933,0.368,-0.232,322.5,0.114166,0.00707145,0.06194,2.20725,-0.666374,-0.342787,0.0248174,0.10413
2,22,5.75,1.933,0.368,-0.232,337.5,0.122414,0.00761539,0.06221,2.20725,-0.666374,-0.342787,0.0248174,0.117747
2,23,5.75,1.933,0.368,-0.232,352.5,0.123835,0.00812606,0.06562,2.20725,-0.666374,-0.342787,0.0248174,0.126032
3,0,5.75,1.964,0.375,-0.278,7.5,0.104749,0.00936038,0.08936,2.13112,-0.707273,-0.305326,0.0226188,0.115687
3,1,5.75,1.964,0.375,-0.278,22.5,0.0970749,0.00878043,0.09045,2.13112,-0.707273,-0.305326,0.0226188,0.105709
3,2,5.75,1.964,0.375,-0.278,37.5,0.0765671,0.00603042,0.07876,2.13112,-0.707273,-0.305326,0.0226188,0.0902529
3,3,5.75,1.964,0.375,-0.278,52.5,0.0727405,0.0055421,0.07619,2.13112,-0.707273,-0.305326,0.0226188,0.0743786
3,4,5.75,1.964,0.375,-0.278,67.5,0.0640034,0.00537629,0.084,2.13112,-0.707273,-0.305326,0.0226188,0.0609642
3,5,5.75,1.964,0.375,-0.278,82.5,0.0520032,0.00432147,0.0831,2.13112,-0.707273,-0.305326,0.0226188,0.0507624
3,6,5.75,1.964,0.375,-0.278,97.5,0.0368745,0.00276558,0.075,2.13112,-0.707273,-0.305326,0.0226188,0.0434439
3,7,5.75,1.964,0.375,-0.278,112.5,0.0334206,0.002552,0.07636,2.13112,-0.707273,-0.305326,0.0226188,0.038373
3,8,5.75,1.964,0.375,-0.278,127.5,0.0378397,0.00278954,0.07372,2.13112,-0.707273,-0.305326,0.0226188,0.0349548
3,9,5.75,1.964,0.375,-0.278,142.5,0.0351344,0.00255989,0.07286,2.13112,-0.707273,-0.305326,0.0226188,0.0327371
3,10,5.75,1.964,0.375,-0.278,157.5,0.0323565,0.00250989,0.07757,2.13112,-0.707273,-0.305326,0.0226188,0.0314119
3,11,5.75,1.964,0.375,-0.278,172.5,0.030665,0.00233422,0.07612,2.13112,-0.707273,-0.305326,0.0226188,0.030793
3,12,5.75,1.964,0.375,-0.278,187.5,0.029312,0.00224794,0.07669,2.13112,-0.707273,-0.305326,0.0226188,0.030793
3,13,5.75,1.964,0.375,-0.278,202.5,0.0313518,0.00243697,0.07773,2.13112,-0.707273,-0.305326,0.0226188,0.0314119
3,14,5.75,1.964,0.375,-0.278,217.5,0.0327644,0.00249206,0.07606,2.13112,-0.707273,-0.305326,0.0226188,0.0327371
